id,code,density_minimum,description
freight_code_50,50, 50,"Nuts, bolts, steel rods"
freight_code_55,55, 35,"Hardwood Flooring, construction materials"
freight_code_60,60, 30,"Car parts and accessories"
freight_code_65,65, 22.5,"Car parts and accessories, boxed books, bottled beverages"
freight_code_70,70, 15,"Car parts and accessories, engines, food items, boxed paper"
freight_code_775,77.5, 13.5,"Tires, bathroom fixtures"
freight_code_85,85, 12,"Crated machinery, cast iron stoves"
freight_code_925,92.5, 10.5,"Computers, monitors, refrigerators"
freight_code_100,100, 9,"Boat and car covers, canvas, wine cases, caskets"
freight_code_110,110, 8,"Cabinets, framed art, table saws"
freight_code_125,125, 7,"Toasters, blenders, other small household appliances"
freight_code_150,150, 6,"Auto sheet metal, bookcases"
freight_code_175,175, 5,"Clothing, couches, stuffed furniture"
freight_code_200,200, 4,"Sheet metal parts, aluminum tables, packaged mattresses, aircraft parts"
freight_code_250,250, 3,"Flat screen TVs, bamboo furniture, mattresses and box springs"
freight_code_300,300, 2,"Wood cabinets, model boats, assembled tables"
freight_code_400,400, 1,"Deer antlers"
freight_code_500,500, 0,"Ping pong balls, gold dust"
